condition,mode,noise_type,rms_ratio,seed,success,episodes,success_rate,env_task
average,2,white,0.0,0,75,100,0.75,soundDiff-m4-f10-s2-p0-no2-ni0.0
average,2,white,0.0,1,85,100,0.85,soundDiff-m4-f10-s2-p0-no2-ni0.0
average,2,white,0.0,2,85,100,0.85,soundDiff-m4-f10-s2-p0-no2-ni0.0
average,2,opposite,0.0,0,75,100,0.75,soundDiff-m4-f10-s2-p0-no2-ni0.0
average,2,opposite,0.0,1,85,100,0.85,soundDiff-m4-f10-s2-p0-no2-ni0.0
average,2,opposite,0.0,2,85,100,0.85,soundDiff-m4-f10-s2-p0-no2-ni0.0
average,2,white,0.25,0,69,100,0.69,soundDiff-m4-f10-s2-p0-no2-ni0.25
average,2,white,0.25,1,41,100,0.41,soundDiff-m4-f10-s2-p0-no2-ni0.25
average,2,white,0.25,2,43,100,0.43,soundDiff-m4-f10-s2-p0-no2-ni0.25
average,2,opposite,0.25,0,65,100,0.65,soundDiff-m4-f10-s2-p0-no2-ni0.25-nopp
average,2,opposite,0.25,1,51,100,0.51,soundDiff-m4-f10-s2-p0-no2-ni0.25-nopp
average,2,opposite,0.25,2,59,100,0.59,soundDiff-m4-f10-s2-p0-no2-ni0.25-nopp
average,2,white,0.5,0,44,100,0.44,soundDiff-m4-f10-s2-p0-no2-ni0.5
average,2,white,0.5,1,46,100,0.46,soundDiff-m4-f10-s2-p0-no2-ni0.5
average,2,white,0.5,2,30,100,0.3,soundDiff-m4-f10-s2-p0-no2-ni0.5
average,2,opposite,0.5,0,47,100,0.47,soundDiff-m4-f10-s2-p0-no2-ni0.5-nopp
average,2,opposite,0.5,1,39,100,0.39,soundDiff-m4-f10-s2-p0-no2-ni0.5-nopp
average,2,opposite,0.5,2,46,100,0.46,soundDiff-m4-f10-s2-p0-no2-ni0.5-nopp
average,2,white,0.75,0,39,100,0.39,soundDiff-m4-f10-s2-p0-no2-ni0.75
average,2,white,0.75,1,34,100,0.34,soundDiff-m4-f10-s2-p0-no2-ni0.75
average,2,white,0.75,2,23,100,0.23,soundDiff-m4-f10-s2-p0-no2-ni0.75
average,2,opposite,0.75,0,39,100,0.39,soundDiff-m4-f10-s2-p0-no2-ni0.75-nopp
average,2,opposite,0.75,1,41,100,0.41,soundDiff-m4-f10-s2-p0-no2-ni0.75-nopp
average,2,opposite,0.75,2,36,100,0.36,soundDiff-m4-f10-s2-p0-no2-ni0.75-nopp
average,2,white,1.0,0,41,100,0.41,soundDiff-m4-f10-s2-p0-no2-ni1.0
average,2,white,1.0,1,31,100,0.31,soundDiff-m4-f10-s2-p0-no2-ni1.0
average,2,white,1.0,2,24,100,0.24,soundDiff-m4-f10-s2-p0-no2-ni1.0
average,2,opposite,1.0,0,34,100,0.34,soundDiff-m4-f10-s2-p0-no2-ni1.0-nopp
average,2,opposite,1.0,1,38,100,0.38,soundDiff-m4-f10-s2-p0-no2-ni1.0-nopp
